Time:128Hz,tag
8.1640625000,right_start
12.2343750000,right_end
12.2343750000,rest_start
14.2031250000,rest_end
14.2031250000,right_start
18.1406250000,right_end
18.1406250000,rest_start
20.2343750000,rest_end
20.2343750000,left_start
24.1718750000,left_end
24.1718750000,rest_start
26.1328125000,rest_end
26.1328125000,rest_start
30.,rest_end
30.,rest_start
32.1406250000,rest_end
32.1406250000,rest_start
36.1953125000,rest_end
36.1953125000,rest_start
38.1484375000,rest_end
38.1484375000,left_start
42.2031250000,left_end
42.2031250000,rest_start
44.1562500000,rest_end
44.1562500000,stop_start
48.2109375000,stop_end
48.2109375000,rest_start
50.1640625000,rest_end
50.1640625000,stop_start
54.2187500000,stop_end
54.2187500000,rest_start
56.1718750000,rest_end
56.1718750000,rest_start
60.2265625000,rest_end
60.2265625000,rest_start
62.,rest_end
62.,rest_start
66.2343750000,rest_end
66.2343750000,rest_start
68.1953125000,rest_end
68.1953125000,stop_start
72.2421875000,stop_end
72.2421875000,rest_start
74.2031250000,rest_end
74.2031250000,left_start
78.1171875000,left_end
78.1171875000,rest_start
80.2109375000,rest_end
80.2109375000,stop_start
84.1250000000,stop_end
84.1250000000,rest_start
86.2187500000,rest_end
86.2187500000,right_start
90.3984375000,right_end
90.3984375000,rest_start
92.4843750000,rest_end
92.4843750000,right_start
96.4062500000,right_end
96.4062500000,rest_start
98.4921875000,rest_end
98.4921875000,left_start
102,left_end
102,rest_start
104.4843750000,rest_end
104.4843750000,stop_start
108.3828125000,stop_end
108.6484375000,rest_start
110.4687500000,rest_end
110.4687500000,rest_start
114.6328125000,rest_end
114.6328125000,rest_start
116.7109375000,rest_end
116.7109375000,left_start
120.7421875000,left_end
120.7421875000,rest_start
122.6953125000,rest_end
122.6953125000,stop_start
126.7265625000,stop_end
126.7265625000,rest_start
128.6796875000,rest_end
128.6796875000,rest_start
132.9687500000,rest_end
132.9687500000,rest_start
134.9218750000,rest_end
134.9218750000,stop_start
138.9531250000,stop_end
138.9531250000,rest_start
140.9062500000,rest_end
140.9062500000,stop_start
144.9375000000,stop_end
144.9375000000,rest_start
146.8906250000,rest_end
147.1484375000,left_start
151.1796875000,left_end
151.1796875000,rest_start
153.1328125000,rest_end
153.1328125000,left_start
157.1640625000,left_end
157.1640625000,rest_start
159.1171875000,rest_end
159.3750000000,stop_start
163.414062500,stop_end
163.414062500,rest_start
165.4921875000,rest_end
165.4921875000,rest_start
169.3906250000,rest_end
169.3906250000,rest_start
171.4765625000,rest_end
171.7343750000,rest_start
175.6406250000,rest_end
175.6406250000,rest_start
177.7187500000,rest_end
177.7187500000,right_start
181.6250000000,right_end
181.8828125000,rest_start
183.9609375000,rest_end
183.9609375000,stop_start
187.9921875000,stop_end
187.9921875000,rest_start
189.9453125000,rest_end
189.9453125000,right_start
193.9765625000,right_end
194.2421875000,rest_start
196.1875000000,rest_end
196.1875000000,right_start
200.2265625000,right_end
200.2265625000,rest_start
202.1718750000,rest_end
202.4375000000,rest_start
206.4687500000,rest_end
206.4687500000,rest_start
208.4218750000,rest_end
208.4218750000,stop_start
212.4531250000,stop_end
212.7109375000,rest_start
214.6640625000,rest_end
214.6640625000,stop_start
218.6953125000,stop_end
218.6953125000,rest_start
220.6484375000,rest_end
220.6484375000,rest_start
224.9375000000,rest_end
224.9375000000,rest_start
226.8906250000,rest_end
226.8906250000,stop_start
230.9218750000,stop_end
231.1796875000,rest_start
233.1328125000,rest_end
233.1328125000,rest_start
237.1640625000,rest_end
237.1640625000,rest_start
239.1171875000,rest_end
239.3750000000,right_start
243.414062500,right_end
243.414062500,rest_start
245.4921875000,rest_end
245.6250000000,right_start
249.6562500000,right_end
249.6562500000,rest_start
251.7265625000,rest_end
251.7265625000,stop_start
255.8750000000,stop_end
255.8750000000,rest_start
257.9453125000,rest_end
257.9453125000,stop_start
261.9609375000,stop_end
262.2187500000,rest_start
264.1640625000,rest_end
264.1640625000,right_start
268.1796875000,right_end
268.4375000000,rest_start
270.3828125000,rest_end
270.3828125000,left_start
274.3984375000,left_end
274.3984375000,rest_start
276.4765625000,rest_end
276.7343750000,stop_start
280.6171875000,stop_end
280.6171875000,rest_start
282.6953125000,rest_end
282.9531250000,right_start
286.9687500000,right_end
286.9687500000,rest_start
288.9140625000,rest_end
289.1718750000,right_start
293.1875000000,right_end
293.1875000000,rest_start
295.1328125000,rest_end
295.1328125000,rest_start
299.4062500000,rest_end
299.4062500000,rest_start
301.4765625000,rest_end
301.7343750000,stop_start
305.6250000000,stop_end
305.6250000000,rest_start
307.6953125000,rest_end
