Time:128Hz,tag
3.9531250000,left_start
7.8984375000,left_end
7.8984375000,rest_start
9.8750000000,rest_end
9.8750000000,left_start
13.9453125000,left_end
13.9453125000,rest_start
15.9062500000,rest_end
15.9062500000,rest_start
19.9765625000,rest_end
19.9765625000,rest_start
21.9453125000,rest_end
21.9453125000,right_start
25.8750000000,right_end
25.8750000000,rest_start
27.9609375000,rest_end
27.9609375000,rest_start
31.8828125000,rest_end
31.8828125000,rest_start
33.9687500000,rest_end
33.9687500000,right_start
37.8906250000,right_end
37.8906250000,rest_start
39.9765625000,rest_end
39.9765625000,right_start
43.8984375000,right_end
43.8984375000,rest_start
45.9843750000,rest_end
45.9843750000,rest_start
49.9062500000,rest_end
49.9062500000,rest_start
51.9921875000,rest_end
51.9921875000,right_start
55.9140625000,right_end
55.9140625000,rest_start
57.8750000000,rest_end
57.8750000000,stop_start
61.9218750000,stop_end
61.9218750000,rest_start
63.8828125000,rest_end
63.8828125000,left_start
67.9296875000,left_end
67.9296875000,rest_start
69.8906250000,rest_end
69.8906250000,left_start
73.9375000000,left_end
74.2031250000,rest_start
75.8984375000,rest_end
75.8984375000,right_start
80.2109375000,right_end
80.2109375000,rest_start
82.1640625000,rest_end
82.1640625000,rest_start
86.2187500000,rest_end
86.2187500000,rest_start
88.1718750000,rest_end
88.1718750000,stop_start
92.2265625000,stop_end
92.2265625000,rest_start
94.,rest_end
94.,left_start
98.2343750000,left_end
98.2343750000,rest_start
100.1875000000,rest_end
100.1875000000,rest_start
104.2265625000,rest_end
104.2265625000,rest_start
106.1718750000,rest_end
106.1718750000,right_start
110.4687500000,right_end
110.4687500000,rest_start
112.4218750000,rest_end
112.4218750000,right_start
116.4531250000,right_end
116.4531250000,rest_start
118,rest_end
118,stop_start
122.4375000000,stop_end
122.4375000000,rest_start
124.3828125000,rest_end
124.3828125000,right_start
128.6796875000,right_end
128.6796875000,rest_start
130.6328125000,rest_end
130.6328125000,stop_start
134.6640625000,stop_end
134.6640625000,rest_start
136.7421875000,rest_end
136.7421875000,left_start
140.6484375000,left_end
140.6484375000,rest_start
142.7265625000,rest_end
142.9843750000,right_start
146.8906250000,right_end
146.8906250000,rest_start
148.9687500000,rest_end
148.9687500000,rest_start
152.8750000000,rest_end
152.8750000000,rest_start
154.9531250000,rest_end
155.2187500000,rest_start
159.1171875000,rest_end
159.1171875000,rest_start
161.1953125000,rest_end
161.1953125000,stop_start
165.2343750000,stop_end
165.2343750000,rest_start
167.1796875000,rest_end
167.4453125000,right_start
171.4765625000,right_end
171.4765625000,rest_start
173.4296875000,rest_end
173.4296875000,right_start
177.4609375000,right_end
177.4609375000,rest_start
179.414062500,rest_end
179.414062500,rest_start
183.7031250000,rest_end
183.7031250000,rest_start
185.6562500000,rest_end
185.6562500000,rest_start
189.6875000000,rest_end
189.6875000000,rest_start
191.8984375000,rest_end
191.8984375000,rest_start
195.9296875000,rest_end
195.9296875000,rest_start
197.8828125000,rest_end
197.8828125000,rest_start
201.9140625000,rest_end
202.1718750000,rest_start
204.1250000000,rest_end
204.1250000000,right_start
208.1562500000,right_end
208.4218750000,rest_start
210.2421875000,rest_end
210.3671875000,stop_start
214,stop_end
214,rest_start
216.4843750000,rest_end
216.4843750000,stop_start
220.6484375000,stop_end
220.6484375000,rest_start
222.7265625000,rest_end
222.7265625000,left_start
226.6328125000,left_end
226.8906250000,rest_start
228.9687500000,rest_end
228.9687500000,stop_start
232.8750000000,stop_end
233.1328125000,rest_start
234.9531250000,rest_end
235.2187500000,left_start
239.1171875000,left_end
239.1171875000,rest_start
241.1953125000,rest_end
241.4609375000,rest_start
245.4921875000,rest_end
245.4921875000,rest_start
247.4453125000,rest_end
247.7031250000,left_start
251.7265625000,left_end
251.7265625000,rest_start
253.6718750000,rest_end
253.6718750000,rest_start
257.9453125000,rest_end
257.9453125000,rest_start
259.8906250000,rest_end
259.8906250000,stop_start
263.9062500000,stop_end
264.1640625000,rest_start
265.9765625000,rest_end
266.2421875000,right_start
270.1250000000,right_end
270.3828125000,rest_start
272.4609375000,rest_end
272.4609375000,right_start
276.4765625000,right_end
276.7343750000,rest_start
278.679687,rest_end
278.679687,right_start
282.6953125000,right_end
282.9531250000,rest_start
284.89,rest_end
284.89,rest_start
288.9140625000,rest_end
288.9140625000,rest_start
291.2421875000,rest_end
291.2421875000,stop_start
295.1328125000,stop_end
295.3906250000,rest_start
297.4609375000,rest_end
297.4609375000,stop_start
301.4765625000,stop_end
301.7343750000,rest_start
303.6796875000,rest_end
