Time:128Hz,tag
26.3984375000,stop_start
30.4453125000,stop_end
30.4453125000,rest_start
32.4062500000,rest_end
32.4062500000,right_start
36.4531250000,right_end
36.4531250000,rest_start
38.4140625000,rest_end
38.4140625000,left_start
42.4609375000,left_end
42.4609375000,rest_start
44.4218750000,rest_end
44.4218750000,left_start
48.4687500000,left_end
48.4687500000,rest_start
50.4296875000,rest_end
50.4296875000,right_start
54.4765625000,right_end
54.4765625000,rest_start
56.4375000000,rest_end
56.4375000000,right_start
60.4843750000,right_end
60.4843750000,rest_start
62.4453125000,rest_end
62.4453125000,left_start
66.4921875000,left_end
66.4921875000,rest_start
68.4531250000,rest_end
68.4531250000,stop_start
72.37500000,stop_end
72.37500000,rest_start
74.4609375000,rest_end
74.4609375000,rest_start
78.3828125000,rest_end
78.6406250000,rest_start
80.73,rest_end
80.73,rest_start
84.6484375000,rest_end
84.6484375000,rest_start
86.7421875000,rest_end
86.7421875000,right_start
90.6562500000,right_end
90.6562500000,rest_start
92.6171875000,rest_end
92.6171875000,rest_start
96.6640625000,rest_end
96.6640625000,rest_start
98.6250000000,rest_end
98.6250000000,left_start
102.6640625000,left_end
102.6640625000,rest_start
104.7421875000,rest_end
104.7421875000,right_start
108.9062500000,right_end
108.9062500000,rest_start
110.7265625000,rest_end
110.9843750000,left_start
114.8906250000,left_end
114.8906250000,rest_start
116.9687500000,rest_end
116.9687500000,rest_start
120.8750000000,rest_end
120.8750000000,rest_start
122.9531250000,rest_end
122.9531250000,rest_start
126.9843750000,rest_end
127.1171875000,rest_start
129.1953125000,rest_end
129.1953125000,rest_start
133.2343750000,rest_end
133.2343750000,rest_start
135.1796875000,rest_end
135.1796875000,stop_start
139.2187500000,stop_end
139.2187500000,rest_start
141.1640625000,rest_end
141.1640625000,rest_start
145.4609375000,rest_end
145.4609375000,rest_start
147.414062500,rest_end
147.414062500,right_start
151.4453125000,right_end
151.4453125000,rest_start
153.3906250000,rest_end
153.3906250000,left_start
157.4296875000,left_end
157.6875000000,rest_start
159.6406250000,rest_end
159.6406250000,left_start
163.6718750000,left_end
163.6718750000,rest_start
165.6250000000,rest_end
165.6250000000,stop_start
169.6562500000,stop_end
169.9140625000,rest_start
171.9921875000,rest_end
171.9921875000,rest_start
175.8984375000,rest_end
175.8984375000,rest_start
177.9765625000,rest_end
177.9765625000,left_start
181.8828125000,left_end
182.1406250000,rest_start
184.2265625000,rest_end
184.2265625000,left_start
188.1250000000,left_end
188.1250000000,rest_start
190.21093,rest_end
190.21093,stop_start
194.2421875000,stop_end
194.3671875000,rest_start
196.4531250000,rest_end
196.4531250000,stop_start
200.4843750000,stop_end
200.4843750000,rest_start
202.4375000000,rest_end
202.6953125000,stop_start
206.7265625000,stop_end
206.7265625000,rest_start
208.6796875000,rest_end
208.6796875000,rest_start
212.7109375000,rest_end
212.9687500000,rest_start
214.9218750000,rest_end
214.9218750000,left_start
218.9531250000,left_end
218.9531250000,rest_start
220.9062500000,rest_end
220.9062500000,left_start
225.1953125000,left_end
225.1953125000,rest_start
227.1484375000,rest_end
227.1484375000,stop_start
231.4453125000,stop_end
231.4453125000,rest_start
233.3906250000,rest_end
233.3906250000,left_start
237.4296875000,left_end
237.6875000000,rest_start
239.6406250000,rest_end
239.6406250000,right_start
243.6718750000,right_end
243.6718750000,rest_start
245.6250000000,rest_end
245.8828125000,right_start
249.9140625000,right_end
249.9140625000,rest_start
251.9843750000,rest_end
251.9843750000,right_start
256.1328125000,right_end
256.1328125000,rest_start
258.2031250000,rest_end
258.2031250000,left_start
262.2187500000,left_end
262.4843750000,rest_start
264.4218750000,rest_end
264.4218750000,stop_start
268.4375000000,stop_end
268.7031250000,rest_start
270.6406250000,rest_end
270.6406250000,right_start
274.6562500000,right_end
274.6562500000,rest_start
276.7343750000,rest_end
276.9921875000,left_start
280.8750000000,left_end
280.8750000000,rest_start
282.9531250000,rest_end
283.2109375000,right_start
287.2265625000,right_end
287.2265625000,rest_start
289.1718750000,rest_end
289.1718750000,rest_start
293.4453125000,rest_end
293.4453125000,rest_start
295.3906250000,rest_end
295.3906250000,rest_start
299.6640625000,rest_end
299.6640625000,rest_start
301.7343750000,rest_end
301.7343750000,left_start
305.8828125000,left_end
305.8828125000,rest_start
307.9531250000,rest_end
307.9531250000,stop_start
312.23437,stop_end
312.23437,rest_start
314.1718750000,rest_end
314.1718750000,rest_start
318.4,rest_end
318.4,rest_start
320.3906250000,rest_end
320.3906250000,left_start
3,left_end
3,rest_start
326.7421875000,rest_end
